game_id,season,team_A,team_B,czy_playoff,sets_A,sets_B,number_of_sets,win_A,A_scoreboard_points,B_scoreboard_points,match_total_points,A_set1_points,B_set1_points,A_set2_points,B_set2_points,A_set3_points,B_set3_points,A_set4_points,B_set4_points,A_set5_points,B_set5_points,A_pts_total,A_pts_bp,A_pts_balance,A_srv_total,A_srv_errors,A_srv_aces,A_rec_total,A_rec_errors,A_rec_pos_pct,A_rec_perf_pct,A_atk_total,A_atk_errors,A_atk_blocked,A_atk_points,A_atk_success_pct,A_blk_points,A_actions,A_srv_eff,A_atk_eff,A_blk_share_skill,A_blk_share_impact,A_srv_share_skill,A_srv_share_impact,A_errors_total,A_opp_errors_pts,A_opp_errors_share,A_defense_total,A_pts_rolling3,A_errors_rolling3,A_matches_before,A_win_rate_prev,A_win_rate_last5,A_pts_prev_all,A_errors_prev_all,A_atk_eff_prev_all,A_win_streak_prev3,B_pts_total,B_pts_bp,B_pts_balance,B_srv_total,B_srv_errors,B_srv_aces,B_rec_total,B_rec_errors,B_rec_pos_pct,B_rec_perf_pct,B_atk_total,B_atk_errors,B_atk_blocked,B_atk_points,B_atk_success_pct,B_blk_points,B_actions,B_srv_eff,B_atk_eff,B_blk_share_skill,B_blk_share_impact,B_srv_share_skill,B_srv_share_impact,B_errors_total,B_opp_errors_pts,B_opp_errors_share,B_defense_total,B_pts_rolling3,B_errors_rolling3,B_matches_before,B_win_rate_prev,B_win_rate_last5,B_pts_prev_all,B_errors_prev_all,B_atk_eff_prev_all,B_win_streak_prev3,diff_pts_total,diff_pts_bp,diff_pts_balance,diff_srv_total,diff_srv_errors,diff_srv_aces,diff_rec_total,diff_rec_errors,diff_rec_pos_pct,diff_rec_perf_pct,diff_atk_total,diff_atk_errors,diff_atk_blocked,diff_atk_points,diff_atk_success_pct,diff_blk_points,diff_srv_eff,diff_atk_eff,diff_blk_share_skill,diff_blk_share_impact,diff_srv_share_skill,diff_srv_share_impact,diff_errors_total,diff_opp_errors_pts,diff_opp_errors_share,diff_defense_total,diff_pts_rolling3,diff_errors_rolling3,diff_matches_before,diff_win_rate_prev,diff_win_rate_last5,diff_pts_prev_all,diff_errors_prev_all,diff_atk_eff_prev_all,diff_win_streak_prev3,h2h_matches_before,h2h_win_rate_A,h2h_last_result_A,h2h_matches_before_all,h2h_win_rate_A_all,h2h_last_result_A_all
1103013,2023/2024,Akademia Tarnów,Budowlani Łódź,0,1,3,4,0,72,95,167,16,25,25,20,17,25,14.0,25.0,,,49,18,15,73,10,3,78,2,37,19,137,10,12,41,30,5,288,-0.0958904109589041,0.1386861313868613,0.10204081632653061,0.06944444444444445,0.061224489795918366,0.041666666666666664,22,23,0.3194444444444444,90,58.0,20.666666666666668,2,0.0,0.0,50.5,25.0,0.12880116959064328,0.0,70,34,42,94,16,2,63,3,48,16,125,4,5,56,45,12,282,-0.14893617021276595,0.376,0.17142857142857143,0.12631578947368421,0.02857142857142857,0.021052631578947368,23,25,0.2631578947368421,68,65.0,18.666666666666668,2,1.0,1.0,58.0,16.5,0.3339874411302983,1.0,-21,-16,-27,-21,-6,1,15,-1,-11,3,12,6,7,-15,-15,-7,0.053045759253861846,-0.2373138686131387,-0.06938775510204082,-0.05687134502923977,0.0326530612244898,0.020614035087719296,-1,-2,0.05628654970760233,22,-7.0,2.0,0,-1.0,-1.0,-7.5,8.5,-0.20518627153965505,-1.0,0,0.5,0.5,3,0.0,0.0
1103014,2023/2024,Stal Mielec,UNI Opole,0,3,2,5,1,115,103,218,26,28,25,18,25,23,24.0,26.0,15.0,8.0,88,37,49,114,11,5,95,6,44,26,187,12,10,72,39,11,396,-0.05263157894736842,0.26737967914438504,0.125,0.09565217391304348,0.056818181818181816,0.043478260869565216,29,27,0.23478260869565218,105,38.0,19.0,2,0.0,0.0,47.5,20.5,0.15703211517165006,0.0,75,31,39,104,9,6,103,5,49,25,144,11,11,59,41,10,351,-0.028846153846153848,0.2569444444444444,0.13333333333333333,0.0970873786407767,0.08,0.05825242718446602,25,28,0.27184466019417475,114,58.666666666666664,21.666666666666668,2,0.0,0.0,32.5,20.5,0.1252723311546841,0.0,13,6,10,10,2,-1,-8,1,-5,1,43,1,-1,13,-2,1,-0.02378542510121457,0.010435234699940621,-0.008333333333333331,-0.0014352047277332164,-0.023181818181818185,-0.014774166314900805,4,-1,-0.03706205149852257,-9,-20.666666666666664,-2.666666666666668,0,0.0,0.0,15.0,0.0,0.03175978401696594,0.0,0,0.5,0.5,0,0.5,0.5
1103015,2023/2024,MKS Kalisz,Volley Wrocław,0,2,3,5,0,106,96,202,22,25,25,15,25,16,23.0,25.0,11.0,15.0,82,32,50,107,11,5,89,4,49,15,151,7,10,62,41,15,347,-0.056074766355140186,0.2980132450331126,0.18292682926829268,0.14150943396226415,0.06097560975609756,0.04716981132075472,22,24,0.22641509433962265,99,51.0,19.666666666666668,2,0.5,0.5,55.5,16.5,0.20382119682768562,0.5,74,29,32,95,6,4,96,5,48,20,166,16,15,60,36,10,357,-0.021052631578947368,0.1746987951807229,0.13513513513513514,0.10416666666666667,0.05405405405405406,0.041666666666666664,27,22,0.22916666666666666,111,57.333333333333336,22.0,2,0.5,0.5,58.5,25.5,0.1706472491909385,0.5,8,3,18,12,5,1,-7,-1,1,-5,-15,-9,-5,2,5,5,-0.035022134776192815,0.12331444985238971,0.047791694133157536,0.037342767295597476,0.006921555702043503,0.005503144654088056,-5,2,-0.0027515723270440107,-12,-6.333333333333336,-2.333333333333332,0,0.0,0.0,-3.0,-9.0,0.033173947636747136,0.0,0,0.5,0.5,12,0.5,1.0
1103016,2023/2024,Pałac Bydgoszcz,Chemik Police,0,0,3,3,0,62,75,137,23,25,17,25,22,25,,,,,48,16,12,64,11,2,67,2,51,25,118,10,13,41,35,5,249,-0.140625,0.15254237288135594,0.10416666666666667,0.08064516129032258,0.041666666666666664,0.03225806451612903,23,14,0.22580645161290322,80,42.333333333333336,19.666666666666668,2,0.0,0.0,51.0,19.0,0.19619401804082925,0.0,52,22,33,73,6,2,53,2,49,23,95,6,5,37,39,13,221,-0.0547945205479452,0.2736842105263158,0.25,0.17333333333333334,0.038461538461538464,0.02666666666666667,14,23,0.30666666666666664,58,63.0,15.333333333333334,2,1.0,1.0,55.5,15.5,0.3190222897669706,1.0,-4,-6,-21,-9,5,0,14,0,2,2,23,4,8,4,-4,-8,-0.0858304794520548,-0.12114183764495987,-0.14583333333333331,-0.09268817204301076,0.0032051282051282007,0.005591397849462363,9,-9,-0.08086021505376342,22,-20.666666666666664,4.333333333333334,0,-1.0,-1.0,-4.5,3.5,-0.12282827172614136,-1.0,0,0.5,0.5,16,0.0,0.0
1103017,2023/2024,Developres Rzeszów,Radomka Radom,0,2,3,5,0,102,102,204,16,25,25,16,25,20,24.0,26.0,12.0,15.0,68,23,39,90,15,7,76,1,51,26,134,12,9,56,42,5,300,-0.08888888888888889,0.26119402985074625,0.07352941176470588,0.049019607843137254,0.10294117647058823,0.06862745098039216,28,34,0.3333333333333333,85,78.33333333333333,16.333333333333332,2,1.0,1.0,60.0,10.0,0.39778836754643204,1.0,57,17,29,87,11,1,75,7,41,23,123,9,5,47,38,9,285,-0.11494252873563218,0.2682926829268293,0.15789473684210525,0.08823529411764706,0.017543859649122806,0.00980392156862745,27,45,0.4411764705882353,80,66.66666666666667,28.666666666666668,2,0.5,0.5,72.5,29.5,0.2479235880398671,0.5,11,6,10,3,4,6,1,-6,10,3,11,3,4,9,4,-4,0.02605363984674329,-0.007098653076083039,-0.08436532507739937,-0.03921568627450981,0.08539731682146542,0.05882352941176471,1,-11,-0.10784313725490197,5,11.666666666666657,-12.333333333333336,0,0.5,0.5,-12.5,-19.5,0.14986477950656493,0.5,0,0.5,0.5,10,1.0,1.0
1103018,2023/2024,Radomka Radom,ŁKS Commercecon Łódź,0,1,3,4,0,76,94,170,17,25,25,19,15,25,19.0,25.0,,,59,21,27,77,7,2,84,4,48,20,146,8,13,49,34,8,307,-0.06493506493506493,0.1917808219178082,0.13559322033898305,0.10526315789473684,0.03389830508474576,0.02631578947368421,19,17,0.2236842105263158,97,70.66666666666667,24.666666666666668,3,0.6666666666666666,0.6666666666666666,67.33333333333333,28.666666666666668,0.2547132863355212,0.6666666666666666,76,34,50,93,9,4,70,2,49,26,141,7,8,59,42,13,304,-0.053763440860215055,0.3120567375886525,0.17105263157894737,0.13829787234042554,0.05263157894736842,0.0425531914893617,18,18,0.19148936170212766,78,63.666666666666664,22.0,3,0.3333333333333333,0.3333333333333333,59.333333333333336,23.333333333333332,0.17514868028156197,0.3333333333333333,-17,-13,-23,-16,-2,-2,14,2,-1,-6,5,1,5,-10,-8,-5,-0.011171624074849874,-0.12027591567084428,-0.03545941123996432,-0.0330347144456887,-0.018733273862622656,-0.016237402015677492,1,-1,0.03219484882418813,19,7.000000000000007,2.666666666666668,0,0.3333333333333333,0.3333333333333333,7.999999999999993,5.333333333333336,0.07956460605395924,0.3333333333333333,0,0.5,0.5,17,0.17647058823529413,0.0
1103019,2023/2024,Chemik Police,Developres Rzeszów,0,3,0,3,1,75,63,138,25,21,25,22,25,20,,,,,61,25,35,74,8,4,59,3,37,20,100,6,9,46,46,11,233,-0.05405405405405406,0.31,0.18032786885245902,0.14666666666666667,0.06557377049180328,0.05333333333333334,17,14,0.18666666666666668,68,61.333333333333336,19.666666666666668,3,1.0,1.0,54.333333333333336,15.0,0.3039095966867524,1.0,49,17,21,64,5,3,66,4,55,23,94,8,11,37,39,9,224,-0.03125,0.19148936170212766,0.1836734693877551,0.14285714285714285,0.061224489795918366,0.047619047619047616,17,14,0.2222222222222222,77,65.33333333333333,16.666666666666668,3,0.6666666666666666,0.6666666666666666,62.666666666666664,16.0,0.35225692164787015,0.6666666666666666,12,8,14,10,3,1,-7,-1,-18,-3,6,-2,-2,9,7,2,-0.022804054054054057,0.11851063829787234,-0.0033456005352960894,0.003809523809523818,0.004349280695884916,0.00571428571428572,0,0,-0.035555555555555535,-9,-3.999999999999993,3.0,0,0.33333333333333337,0.33333333333333337,-8.333333333333329,-1.0,-0.048347324961117766,0.33333333333333337,0,0.5,0.5,29,0.5862068965517241,0.0
1103020,2023/2024,Volley Wrocław,Pałac Bydgoszcz,0,3,0,3,1,75,64,139,25,21,25,22,25,21,,,,,59,21,38,74,2,2,60,2,58,32,109,7,10,46,42,11,243,0.0,0.26605504587155965,0.1864406779661017,0.14666666666666667,0.03389830508474576,0.02666666666666667,11,16,0.21333333333333335,70,67.0,19.333333333333332,3,0.6666666666666666,0.6666666666666666,63.666666666666664,26.0,0.17199776452086665,0.6666666666666666,53,12,24,65,5,2,72,2,50,28,113,11,11,41,36,10,250,-0.046153846153846156,0.168141592920354,0.18867924528301888,0.15625,0.03773584905660377,0.03125,18,11,0.171875,83,52.0,21.333333333333332,3,0.0,0.0,50.0,20.333333333333332,0.18164346965433817,0.0,6,9,14,9,-3,0,-12,0,8,4,-4,-4,-1,5,6,1,0.046153846153846156,0.09791345295120565,-0.002238567316917184,-0.009583333333333333,-0.0038375439718580096,-0.004583333333333332,-7,5,0.04145833333333335,-13,15.0,-2.0,0,0.6666666666666666,0.6666666666666666,13.666666666666664,5.666666666666668,-0.009645705133471516,0.6666666666666666,0,0.5,0.5,20,0.6,1.0
1103021,2023/2024,UNI Opole,MKS Kalisz,0,3,1,4,1,92,87,179,25,16,16,25,26,24,25.0,22.0,,,76,28,49,94,10,9,81,1,52,32,150,13,16,60,40,7,325,-0.010638297872340425,0.20666666666666667,0.09210526315789473,0.07608695652173914,0.11842105263157894,0.09782608695652174,24,16,0.17391304347826086,97,59.0,20.666666666666668,3,0.0,0.0,46.666666666666664,22.0,0.16916303558460422,0.0,65,21,38,89,10,1,84,9,32,12,122,7,9,48,39,16,295,-0.10112359550561797,0.26229508196721313,0.24615384615384617,0.1839080459770115,0.015384615384615385,0.011494252873563218,26,22,0.25287356321839083,93,57.666666666666664,24.0,3,0.3333333333333333,0.3333333333333333,64.33333333333333,18.333333333333332,0.23521854622949465,0.3333333333333333,11,7,11,5,0,8,-3,-8,20,20,28,6,7,12,1,-9,0.09048529763327755,-0.05562841530054646,-0.15404858299595142,-0.10782108945527236,0.10303643724696356,0.08633183408295853,-2,-6,-0.07896051974012996,4,1.3333333333333357,-3.333333333333332,0,-0.3333333333333333,-0.3333333333333333,-17.666666666666664,3.666666666666668,-0.06605551064489043,-0.3333333333333333,0,0.5,0.5,4,0.0,0.0
1103022,2023/2024,Budowlani Łódź,Stal Mielec,0,3,0,3,1,75,50,125,25,15,25,20,25,15,,,,,61,31,48,74,3,6,48,4,46,19,110,4,2,44,40,11,232,0.04054054054054054,0.34545454545454546,0.18032786885245902,0.14666666666666667,0.09836065573770492,0.08,11,14,0.18666666666666668,50,59.666666666666664,16.666666666666668,3,1.0,1.0,62.0,18.666666666666668,0.34799162742019885,1.0,40,14,14,51,3,4,71,6,39,18,124,6,11,34,27,2,246,0.0196078431372549,0.13709677419354838,0.05,0.04,0.1,0.08,15,10,0.2,82,57.0,22.0,3,0.3333333333333333,0.3333333333333333,61.0,23.333333333333332,0.19381463649589506,0.3333333333333333,21,17,34,23,0,2,-23,-2,7,1,-14,-2,-9,10,13,9,0.02093269740328564,0.20835777126099708,0.130327868852459,0.10666666666666666,-0.0016393442622950893,0.0,-4,4,-0.013333333333333336,-32,2.6666666666666643,-5.333333333333332,0,0.6666666666666667,0.6666666666666667,1.0,-4.666666666666664,0.1541769909243038,0.6666666666666667,0,0.5,0.5,0,0.5,0.5
1103023,2023/2024,BKS Bielsko-Biała,Akademia Tarnów,0,3,0,3,1,76,66,142,25,20,26,24,25,22,,,,,58,24,46,74,7,5,58,0,48,21,106,5,8,45,42,8,238,-0.02702702702702703,0.3018867924528302,0.13793103448275862,0.10526315789473684,0.08620689655172414,0.06578947368421052,12,18,0.23684210526315788,66,66.0,20.333333333333332,3,1.0,1.0,62.333333333333336,15.666666666666666,0.3375800204576538,1.0,54,17,32,68,10,0,66,5,36,12,112,6,8,46,41,8,246,-0.14705882352941177,0.2857142857142857,0.14814814814814814,0.12121212121212122,0.0,0.0,21,12,0.18181818181818182,74,36.0,20.666666666666668,3,0.0,0.0,50.0,24.0,0.13209615685604928,0.0,4,7,14,6,-3,5,-8,-5,12,9,-6,-1,0,-1,1,0,0.12003179650238474,0.01617250673854448,-0.010217113665389521,-0.01594896331738438,0.08620689655172414,0.06578947368421052,-9,6,0.05502392344497606,-8,30.0,-0.3333333333333357,0,1.0,1.0,12.333333333333336,-8.333333333333334,0.2054838636016045,1.0,0,0.5,0.5,2,1.0,1.0
1103024,2023/2024,ŁKS Commercecon Łódź,Stal Mielec,0,3,0,3,1,75,55,130,25,13,25,21,25,21,,,,,59,29,34,74,9,3,49,3,55,31,91,3,10,43,47,13,214,-0.08108108108108109,0.32967032967032966,0.22033898305084745,0.17333333333333334,0.05084745762711865,0.04,15,16,0.21333333333333335,59,73.33333333333333,20.666666666666668,4,0.5,0.5,63.5,22.0,0.2093756946083346,0.6666666666666666,42,14,11,56,7,3,65,3,51,17,108,8,13,29,27,10,229,-0.07142857142857142,0.07407407407407407,0.23809523809523808,0.18181818181818182,0.07142857142857142,0.05454545454545454,18,13,0.23636363636363636,78,48.5,18.5,4,0.25,0.25,55.75,21.25,0.1796351709203084,0.3333333333333333,17,15,23,18,2,0,-16,0,4,14,-17,-5,-3,14,20,3,-0.009652509652509661,0.2555962555962556,-0.01775625504439063,-0.008484848484848484,-0.020581113801452777,-0.014545454545454542,-3,3,-0.023030303030303012,-19,24.83333333333333,2.166666666666668,0,0.25,0.25,7.75,0.75,0.02974052368802621,0.3333333333333333,0,0.5,0.5,0,0.5,0.5
