game_id,season,date
6583,2017/2018,28.10.2017
6594,2017/2018,28.10.2017
6598,2017/2018,28.10.2017
6600,2017/2018,29.10.2017
6601,2017/2018,29.10.2017
6572,2017/2018,29.10.2017
6561,2017/2018,30.10.2017
6608,2017/2018,03.11.2017
6605,2017/2018,04.11.2017
6602,2017/2018,04.11.2017
6606,2017/2018,04.11.2017
6603,2017/2018,05.11.2017
6604,2017/2018,05.11.2017
6607,2017/2018,05.11.2017
6612,2017/2018,11.11.2017
6614,2017/2018,11.11.2017
6615,2017/2018,12.11.2017
6611,2017/2018,12.11.2017
6616,2017/2018,13.11.2017
6613,2017/2018,14.11.2017
6609,2017/2018,15.11.2017
6619,2017/2018,18.11.2017
6617,2017/2018,18.11.2017
6620,2017/2018,18.11.2017
6624,2017/2018,19.11.2017
6622,2017/2018,19.11.2017
6618,2017/2018,20.11.2017
6623,2017/2018,21.11.2017
6629,2017/2018,25.11.2017
6631,2017/2018,25.11.2017
6628,2017/2018,25.11.2017
6626,2017/2018,27.11.2017
6630,2017/2018,27.11.2017
6625,2017/2018,28.11.2017
6627,2017/2018,29.11.2017
6634,2017/2018,02.12.2017
6636,2017/2018,02.12.2017
6633,2017/2018,03.12.2017
6638,2017/2018,03.12.2017
6637,2017/2018,03.12.2017
6639,2017/2018,03.12.2017
6635,2017/2018,04.12.2017
6642,2017/2018,09.12.2017
6646,2017/2018,09.12.2017
6640,2017/2018,10.12.2017
6641,2017/2018,10.12.2017
6645,2017/2018,10.12.2017
6647,2017/2018,10.12.2017
6644,2017/2018,11.12.2017
6648,2017/2018,15.12.2017
6650,2017/2018,15.12.2017
6649,2017/2018,16.12.2017
6651,2017/2018,16.12.2017
6652,2017/2018,16.12.2017
6655,2017/2018,16.12.2017
6653,2017/2018,17.12.2017
6656,2017/2018,07.12.2017
6660,2017/2018,20.12.2017
6658,2017/2018,20.12.2017
6659,2017/2018,20.12.2017
6661,2017/2018,20.12.2017
6662,2017/2018,20.12.2017
6657,2017/2018,21.12.2017
6663,2017/2018,05.01.2018
6667,2017/2018,06.01.2018
6668,2017/2018,06.01.2018
6669,2017/2018,06.01.2018
6670,2017/2018,07.01.2018
6666,2017/2018,07.01.2018
6664,2017/2018,08.01.2018
6678,2017/2018,12.01.2018
6672,2017/2018,13.01.2018
6674,2017/2018,13.01.2018
6673,2017/2018,13.01.2018
6677,2017/2018,14.01.2018
6671,2017/2018,14.01.2018
6675,2017/2018,15.01.2018
6684,2017/2018,20.01.2018
6680,2017/2018,20.01.2018
6683,2017/2018,20.01.2018
6679,2017/2018,20.01.2018
6685,2017/2018,21.01.2018
6682,2017/2018,21.01.2018
6681,2017/2018,11.03.2018
6512,2017/2018,26.01.2018
6510,2017/2018,27.01.2018
6507,2017/2018,27.01.2018
6508,2017/2018,27.01.2018
6686,2017/2018,28.01.2018
6511,2017/2018,28.01.2018
6509,2017/2018,29.01.2018
6519,2017/2018,03.02.2018
6514,2017/2018,03.02.2018
6520,2017/2018,03.02.2018
6516,2017/2018,04.02.2018
6513,2017/2018,04.02.2018
6515,2017/2018,04.02.2018
6518,2017/2018,05.02.2018
6522,2017/2018,10.02.2018
6525,2017/2018,10.02.2018
6527,2017/2018,10.02.2018
6523,2017/2018,10.02.2018
6524,2017/2018,11.02.2018
6526,2017/2018,11.02.2018
6521,2017/2018,11.02.2018
6531,2017/2018,16.02.2018
6530,2017/2018,17.02.2018
6533,2017/2018,17.02.2018
6534,2017/2018,17.02.2018
6535,2017/2018,17.02.2018
6529,2017/2018,18.02.2018
6532,2017/2018,19.02.2018
6536,2017/2018,24.02.2018
6542,2017/2018,24.02.2018
6543,2017/2018,24.02.2018
6540,2017/2018,24.02.2018
6538,2017/2018,25.02.2018
6537,2017/2018,25.02.2018
6541,2017/2018,26.02.2018
6545,2017/2018,03.03.2018
6546,2017/2018,03.03.2018
6548,2017/2018,03.03.2018
6549,2017/2018,03.03.2018
6551,2017/2018,03.03.2018
6544,2017/2018,05.03.2018
6547,2017/2018,05.03.2018
6553,2017/2018,07.03.2018
6555,2017/2018,07.03.2018
6556,2017/2018,07.03.2018
6557,2017/2018,07.03.2018
6558,2017/2018,09.03.2018
6554,2017/2018,09.03.2018
6552,2017/2018,21.03.2018
6565,2017/2018,15.03.2018
6563,2017/2018,16.03.2018
6566,2017/2018,16.03.2018
6559,2017/2018,17.03.2018
6560,2017/2018,18.03.2018
6564,2017/2018,18.03.2018
6562,2017/2018,18.03.2018
6571,2017/2018,24.03.2018
6568,2017/2018,24.03.2018
6570,2017/2018,24.03.2018
6573,2017/2018,25.03.2018
6567,2017/2018,25.03.2018
6569,2017/2018,26.03.2018
6574,2017/2018,31.03.2018
6575,2017/2018,28.03.2018
6576,2017/2018,28.03.2018
6577,2017/2018,28.03.2018
6578,2017/2018,28.03.2018
6581,2017/2018,28.03.2018
6579,2017/2018,29.03.2018
6580,2017/2018,29.03.2018
6582,2017/2018,05.04.2018
6584,2017/2018,05.04.2018
6588,2017/2018,06.04.2018
6586,2017/2018,07.04.2018
6585,2017/2018,07.04.2018
6587,2017/2018,07.04.2018
6589,2017/2018,08.04.2018
6591,2017/2018,11.04.2018
6592,2017/2018,11.04.2018
6593,2017/2018,11.04.2018
6595,2017/2018,11.04.2018
6596,2017/2018,11.04.2018
6597,2017/2018,11.04.2018
6590,2017/2018,11.04.2018
1001131,2017/2018,15.04.2018
1001132,2017/2018,17.04.2018
1001133,2017/2018,20.04.2018
1001134,2017/2018,16.04.2018
1001135,2017/2018,19.04.2018
1001136,2017/2018,23.04.2018
1001170,2017/2018,26.04.2018
1001171,2017/2018,30.04.2018
1001173,2017/2018,26.04.2018
1001174,2017/2018,28.04.2018
1001175,2017/2018,02.05.2018
1001137,2017/2018,15.04.2018
1001138,2017/2018,18.04.2018
1001139,2017/2018,21.04.2018
1001140,2017/2018,15.04.2018
1001141,2017/2018,19.04.2018
1001143,2017/2018,15.04.2018
1001144,2017/2018,16.04.2018
1001146,2017/2018,15.04.2018
1001147,2017/2018,18.04.2018
1001385,2017/2018,24.04.2018
1001386,2017/2018,25.04.2018
1001387,2017/2018,29.04.2018
1001432,2018/2019,02.11.2018
1001399,2018/2019,03.11.2018
1001410,2018/2019,03.11.2018
1001443,2018/2019,03.11.2018
1001421,2018/2019,04.11.2018
1001388,2018/2019,05.11.2018
1001389,2018/2019,09.11.2018
1001391,2018/2019,09.11.2018
1001458,2018/2019,09.11.2018
1001390,2018/2019,10.11.2018
1001459,2018/2019,10.11.2018
1001454,2018/2019,11.11.2018
1001392,2018/2019,14.11.2018
1001393,2018/2019,14.11.2018
1001394,2018/2019,14.11.2018
1001396,2018/2019,14.11.2018
1001395,2018/2019,14.11.2018
1001397,2018/2019,05.12.2018
1001401,2018/2019,17.11.2018
1001404,2018/2019,17.11.2018
1001403,2018/2019,17.11.2018
1001398,2018/2019,18.11.2018
1001402,2018/2019,18.11.2018
1001400,2018/2019,19.11.2018
1001405,2018/2019,21.11.2018
1001407,2018/2019,24.11.2018
1001408,2018/2019,24.11.2018
1001406,2018/2019,24.11.2018
1001411,2018/2019,25.11.2018
1001409,2018/2019,25.11.2018
1001413,2018/2019,28.11.2018
1001414,2018/2019,28.11.2018
1001415,2018/2019,28.11.2018
1001416,2018/2019,28.11.2018
1001417,2018/2019,28.11.2018
1001412,2018/2019,28.11.2018
1001418,2018/2019,01.12.2018
1001424,2018/2019,01.12.2018
1001420,2018/2019,01.12.2018
1001423,2018/2019,02.12.2018
1001422,2018/2019,02.12.2018
1001419,2018/2019,03.12.2018
1001429,2018/2019,07.12.2018
1001428,2018/2019,08.12.2018
1001430,2018/2019,08.12.2018
1001425,2018/2019,08.12.2018
1001426,2018/2019,09.12.2018
1001427,2018/2019,09.12.2018
1001431,2018/2019,11.12.2018
1001434,2018/2019,12.12.2018
1001436,2018/2019,12.12.2018
1001437,2018/2019,12.12.2018
1001433,2018/2019,12.12.2018
1001435,2018/2019,13.12.2018
1001444,2018/2019,14.12.2018
1001438,2018/2019,15.12.2018
1001439,2018/2019,15.12.2018
1001440,2018/2019,15.12.2018
1001441,2018/2019,16.12.2018
1001442,2018/2019,17.12.2018
1001447,2018/2019,22.12.2018
1001448,2018/2019,22.12.2018
1001445,2018/2019,22.12.2018
1001449,2018/2019,22.12.2018
1001446,2018/2019,23.12.2018
1001450,2018/2019,23.12.2018
1001457,2018/2019,29.12.2018
1001452,2018/2019,04.01.2019
1001451,2018/2019,05.01.2019
1001453,2018/2019,06.01.2019
1001455,2018/2019,13.02.2019
1001456,2018/2019,05.03.2019
1001497,2018/2019,11.01.2019
1001493,2018/2019,11.01.2019
1001498,2018/2019,12.01.2019
1001495,2018/2019,13.01.2019
1001496,2018/2019,30.01.2019
1001494,2018/2019,10.03.2019
1001499,2018/2019,16.01.2019
1001500,2018/2019,16.01.2019
1001501,2018/2019,16.01.2019
1001502,2018/2019,16.01.2019
1001504,2018/2019,16.01.2019
1001503,2018/2019,12.03.2019
1001510,2018/2019,19.01.2019
1001505,2018/2019,19.01.2019
1001507,2018/2019,20.01.2019
1001506,2018/2019,20.01.2019
1001509,2018/2019,20.01.2019
1001508,2018/2019,21.01.2019
1001511,2018/2019,25.01.2019
1001514,2018/2019,25.01.2019
1001513,2018/2019,26.01.2019
1001516,2018/2019,27.01.2019
1001515,2018/2019,27.01.2019
1001512,2018/2019,27.01.2019
1001518,2018/2019,02.02.2019
1001461,2018/2019,02.02.2019
1001460,2018/2019,02.02.2019
1001462,2018/2019,03.02.2019
1001519,2018/2019,04.02.2019
1001517,2018/2019,04.02.2019
1001464,2018/2019,08.02.2019
1001463,2018/2019,08.02.2019
1001466,2018/2019,09.02.2019
1001468,2018/2019,10.02.2019
1001465,2018/2019,10.02.2019
1001467,2018/2019,11.02.2019
1001472,2018/2019,15.02.2019
1001471,2018/2019,15.02.2019
1001470,2018/2019,16.02.2019
1001474,2018/2019,17.02.2019
1001469,2018/2019,17.02.2019
1001473,2018/2019,18.02.2019
