game_id,season,date,team_A,team_B,number_of_sets,is_playoff,win_A,diff_atk_eff,diff_so_eff,diff_blk_per_set,diff_atk_blocked_rate,diff_srv_eff,diff_rec_pos_pct,diff_srv_ace_rate,diff_error_total_rate,diff_opp_errors_share,diff_wl_per_set
1101334,2020/2021,2021-03-15,Radomka Radom,Legionovia,4,1,0,0.03569443850724577,0.006946588453226266,-1.5,0.03479673406574617,-0.11098626716604244,4.0,-0.06741573033707865,0.025284534916053807,-0.008614232209737838,-3.75
1101337,2020/2021,2021-03-19,MKS Kalisz,Developres Rzeszów,3,1,0,-0.3540969899665552,-0.3602006688963212,-4.0,0.1116220735785953,0.06644144144144146,10.0,-0.013513513513513514,-0.0014129206155986465,0.09787234042553189,-13.0
1101339,2020/2021,2021-03-19,Pałac Bydgoszcz,Volley Wrocław,5,1,1,0.030151946818613495,-0.030612244897959218,0.6000000000000001,-0.01068376068376068,-0.009778470058843892,0.0,-0.0182589131187262,-0.006782187161267009,0.011509172724125993,0.5999999999999996
1101335,2020/2021,2021-03-20,Legionovia,Radomka Radom,4,1,0,0.021328246922143246,-0.023255813953488413,1.25,-0.02748396046471302,0.007123870281765032,-10.0,-0.029452418926103136,-0.0028352100997672963,-0.012744891510427653,0.75
1101328,2020/2021,2021-03-21,Budowlani Łódź,Chemik Police,3,1,0,-0.09137101896379639,-0.130718954248366,-2.333333333333333,0.06215406950367479,-0.0163372327551432,-22.0,-0.03771682129891085,0.007679063360881547,0.05939393939393936,-6.666666666666667
1101329,2020/2021,2021-03-22,BKS Bielsko-Biała,ŁKS Commercecon Łódź,4,1,0,-0.08385490275254054,-0.15320813771517994,-1.5,0.03849518810148733,-0.08482142857142856,3.0,0.007440476190476185,0.013031678442749522,-0.009936653831822129,-5.25
1101352,2020/2021,2021-03-23,Radomka Radom,Legionovia,4,1,1,0.1056910569105691,0.24575163398692812,1.0,-0.03695491500369549,0.06447072072072073,2.0,0.04588963963963964,-0.02597937658913268,0.004095466741985604,7.5
1101349,2020/2021,2021-03-27,MKS Kalisz,Legionovia,3,1,1,0.11132194813409235,0.2657657657657658,-1.6666666666666665,0.04237824161922833,0.1260035682426405,39.0,0.0675735950044603,-0.04550656087885262,-0.013495276653171379,7.666666666666666
1101351,2020/2021,2021-03-28,Radomka Radom,Chemik Police,3,1,0,-0.07912104394780259,-0.2850678733031674,0.3333333333333335,-0.004349782510874464,-0.0742135578201152,-40.0,-0.007753655294638902,0.021135347513887008,-0.023333333333333317,-4.666666666666667
1101341,2020/2021,2021-03-29,Budowlani Łódź,BKS Bielsko-Biała,4,1,0,0.0013802622498274575,-0.04105090311986859,-0.75,0.017598343685300208,-0.060000000000000005,7.0,-0.03,0.01121588089330025,-0.021687462863933415,-2.0
1101345,2020/2021,2021-03-29,Developres Rzeszów,ŁKS Commercecon Łódź,3,1,0,-0.10815632965165672,-0.11940298507462677,0.0,-0.0028037383177570013,0.0526027397260274,0.0,0.028127853881278534,-0.00025702811244979196,0.004572891896835574,-1.666666666666666
1101344,2020/2021,2021-03-30,Legionovia,MKS Kalisz,5,1,0,0.03240382900291333,-0.1339285714285714,0.6000000000000001,-0.014091206373743975,-0.06337882547559967,-14.0,-0.04352770885028949,0.023379698135543053,-0.021918941273779968,-1.8000000000000007
1101338,2020/2021,2021-04-01,Volley Wrocław,Pałac Bydgoszcz,5,1,0,0.02727311588936862,-0.11569301260022902,0.0,-0.0037618090881887806,-0.14029126213592233,5.0,-0.008543689320388348,0.03298213467704994,-0.06038834951456312,-1.7999999999999998
1101348,2020/2021,2021-04-01,BKS Bielsko-Biała,Budowlani Łódź,3,1,0,-0.20271493212669683,-0.24848484848484853,-0.33333333333333304,0.004374057315233784,-0.057718735684837374,-2.0,-0.01328447091158956,0.02098066949552098,0.006896551724137917,-6.666666666666666
1101350,2020/2021,2021-04-01,Chemik Police,Radomka Radom,4,1,1,0.00644152595372105,0.09121821407451214,-0.75,0.019574734208880548,0.08995128582757449,21.0,0.007590347796533357,-0.026402640264026403,0.0217687074829932,2.25
1101333,2020/2021,2021-04-02,ŁKS Commercecon Łódź,Developres Rzeszów,3,1,0,-0.07024265644955302,-0.15299539170506915,-0.9999999999999996,0.019476372924648794,-0.04722960539766918,-1.0,-0.0136986301369863,0.02257681484734625,-0.055384615384615365,-4.333333333333334
1101386,2020/2021,2021-04-06,Developres Rzeszów,ŁKS Commercecon Łódź,4,1,1,0.0560024889995111,0.10213316095669034,1.0,-0.025601137828347928,-0.006043956043956043,9.0,0.01802197802197802,-0.015203826581072097,0.0496732026143791,3.25
1101332,2020/2021,2021-04-10,Developres Rzeszów,Chemik Police,5,1,1,0.048051192553810324,0.03346684468179795,0.20000000000000018,-0.0004363001745200795,0.009394409937888197,-22.0,0.016459627329192546,-0.006097560975609755,-0.016387076731904315,2.0
1101343,2020/2021,2021-04-10,Radomka Radom,ŁKS Commercecon Łódź,3,1,1,0.1810499820208558,0.18885281385281383,1.333333333333333,-0.03389068680330816,-0.029020824102791318,9.0,-0.0028799291094373063,0.004876267007579219,-0.06999999999999998,6.333333333333333
1101342,2020/2021,2021-04-13,ŁKS Commercecon Łódź,Radomka Radom,5,1,0,-0.04008438818565402,-0.022881880024737122,0.0,0.006156893137001643,0.037383177570093455,3.0,-0.007894020506306144,-0.000726285209043831,0.02723311546840959,-1.4000000000000004
1101347,2020/2021,2021-04-13,Chemik Police,Developres Rzeszów,5,1,1,0.05137542054225211,0.07023195876288657,-0.5999999999999999,0.022204630912329312,-0.008790598686036826,22.0,0.035162394744147306,0.0006035376592024022,-0.04080688442676045,1.200000000000001
1101340,2020/2021,2021-04-17,Radomka Radom,ŁKS Commercecon Łódź,5,1,0,-0.0725520602569783,-0.06318681318681318,-0.3999999999999999,-0.0032860729582041143,-0.009603960396039606,15.0,0.0094059405940594,0.028478629260026367,-0.08702970297029702,-1.3999999999999995
1101346,2020/2021,2021-04-17,Developres Rzeszów,Chemik Police,5,1,0,-0.02598752598752596,-0.15015124016938897,-1.2,0.03212058212058212,-0.021687883074021697,-7.0,0.021687883074021697,0.009172324136934848,-0.0736326059790445,-1.0
1101389,2020/2021,2021-04-20,Chemik Police,Developres Rzeszów,4,1,1,0.08378210439105219,0.1791979949874687,1.0,-0.02568351284175642,-0.0050374882849109695,18.0,-0.007380506091846303,-0.011553604188568004,0.055102040816326525,3.25
1101390,2020/2021,2021-04-20,ŁKS Commercecon Łódź,Radomka Radom,3,1,1,0.19201186173663237,0.16151385927505335,1.6666666666666665,-0.03938467241219536,0.008084437457893556,-5.0,0.00830900516505726,-0.0143793026870975,-0.044519774011299446,8.0
1101392,2020/2021,2021-04-24,Radomka Radom,ŁKS Commercecon Łódź,3,1,0,-0.08095238095238097,-0.22718052738336714,-1.0,0.016666666666666663,-0.06491043203371971,-16.0,-0.012012644889357216,0.020014068466537145,-0.05523809523809525,-4.666666666666667
